"Production of metallic, non-metallic, aggregates, clay and refractory minerals in quantities, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-01"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,
,"Quantity shipped","22,076,964","10,513,778","15,515,022","14,699,050","15,756,444","18,373,734","17,400,642p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Platinum, recoverable (grams) 8 9","Quantity produced","x","4,860,068","4,255,100","4,468,758","4,474,132","5,974,488","5,801,459p"
,"Quantity shipped","x","4,884,117","4,288,988","4,499,493","4,445,962","5,944,983","5,625,552p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Rhodium, recoverable (grams) 8 9","Quantity produced","x","x","x","x","333,436","299,482","310,990p"
,"Quantity shipped","x","x","x","x","330,574","296,900","304,807p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Ruthenium, recoverable (grams) 8 9","Quantity produced","x","x","x","x","157,394","124,631","118,561p"
,"Quantity shipped","x","x","x","x","157,394","124,631","116,017p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Silver, concentrates (kilograms) 9","Quantity produced","0","0","0","0","0","0",".."
,"Quantity shipped","0","0","0","0","0","0",".."
,"Closing inventories 10","0","0","0","0","0","0",".."
"Silver, recoverable (kilograms) 9","Quantity produced","399,359","313,516","301,109","290,946","298,817","331,965","356,052p"
,"Quantity shipped","380,117","297,567","286,554","283,426","305,024","325,705","344,133p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Tantalum, concentrates (kilograms) 8 9","Quantity produced","0","0","5,492,000","260,000","0","0",".."
,"Quantity shipped","0","0","0","0","0","0",".."
,"Closing inventories 10","0","0","5,492,000","5,752,000","5,752,000","5,752,000",".."
"Titanium dioxide (metric tonnes) 8 9","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Uranium, concentrates (metric tonnes) 8 9","Quantity produced","8,228","4,259","5,470","8,599","12,366","x",".."
,"Quantity shipped","8,250","4,368","5,610","8,137","10,699","x",".."
,"Closing inventories 10","x","x","x","x","x","x",".."
"Uranium, recoverable (metric tonnes) 8 9","Quantity produced","6,979","3,613","4,768","7,368","10,511","x","xp"
,"Quantity shipped","6,997","3,704","4,768","6,929","9,095","x","xp"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Zinc, concentrates (metric tonnes) 8 9","Quantity produced","598,868","486,589","473,403","296,982","177,439","112,312",".."
,"Quantity shipped","592,656","481,471","472,259","299,701","184,426","107,692",".."
,"Closing inventories 10","39,220","34,759","30,792","23,066","11,327","12,579",".."
"Zinc, recoverable (metric tonnes) 8 9","Quantity produced","269,353","246,995","229,671","180,256","110,646","79,328","73,312p"
,"Quantity shipped","263,941","230,137","231,573","185,315","105,013","69,543","66,950p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Barite (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Diamonds (carats) 15","Quantity produced","18,354,635","14,208,812","16,994,679","16,217,233","15,822,025","12,062,699","14,103,511p"
,"Quantity shipped","18,363,122","14,292,783","17,592,866","16,045,719","16,289,637","13,519,578","13,532,045p"
,"Closing inventories 10","2,410,103","2,123,986","1,525,798","1,919,014","1,451,402","1,104,959",".."
"Gemstones (kilograms) 15","Quantity produced","63,255","85,407","65,314","68,482","69,517","x","xp"
,"Quantity shipped","63,574","79,907","55,314","69,129","70,019","x","xp"
,"Closing inventories 10","32,974","11,334","36,334","16,687","16,185","0",".."
"Graphite (metric tonnes) 8 15","Quantity produced","4,332","16,239","9,290","9,460","x","x","xp"
,"Quantity shipped","11,045","7,620","13,312","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Gypsum (metric tonnes) 15","Quantity produced","2,445,062","3,062,710","2,908,792","3,306,341","3,479,599","3,223,207","3,753,227p"
,"Quantity shipped","2,451,903","3,054,359","2,921,590","3,367,532","3,378,603","3,161,600","3,686,533p"
,"Closing inventories 10","194,650","193,688","183,057","121,867","222,503","284,110",".."
"Gypsum anhydrite (metric tonnes) 15","Quantity produced","0","0","0","0","0","0","0p"
,"Quantity shipped","0","0","0","0","0","0","0p"
,"Closing inventories 10","0","0","0","0","0","0",".."
"Marl (metric tonnes) 15","Quantity produced","0","0","0","0","0","0","0p"
,"Quantity shipped","0","0","0","0","0","0","0p"
,"Closing inventories 10","0","0","0","0","0","0",".."
"Mica (metric tonnes) 15","Quantity produced","x","13,254","14,958","14,057","12,765","74,212","14,000p"
,"Quantity shipped","x","14,737","14,975","14,450","12,737","12,215","14,000p"
,"Closing inventories 10","x","1,754","1,737","1,344","1,372","61,692",".."
"Peat (metric tonnes) 15","Quantity produced","1,183,803","1,348,735","1,601,681","1,964,028","1,847,017","1,952,376","2,161,761p"
,"Quantity shipped","1,565,280","1,673,503","2,171,864","1,864,397","1,768,615","1,893,408","1,765,526p"
,"Closing inventories 10","1,045,157","1,073,965","792,649","679,101","757,641","1,162,821",".."
"Potash, muriate of potash (MOP) (metric tonnes) 8 15","Quantity produced","20,928,973","22,385,928","23,239,270","23,568,614","23,007,713","24,697,559","24,772,376p"
,"Quantity shipped","20,716,978","22,681,891","22,934,009","22,681,230","23,583,224","24,434,387","25,156,273p"
