"Production of metallic, non-metallic, aggregates, clay and refractory minerals in value, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-02"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada",,,,,,
"Variables","Value of shipments",,,,,,
"Products","2019","2020","2021","2022","2023","2024","2025"
"Clay products (thousands of dollars) 20","x","x","x","x","x","x","xp"
"Lime (thousands of dollars) 20 21 22","374,340","222,222","293,032","299,376","312,825","330,734","341,689p"
"Lime, quicklime (thousands of dollars) 20","332,433","187,671","247,865","255,009","267,847","279,179","285,200p"
"Lime, hydrated lime (thousands of dollars) 20","41,907","34,551","45,167","44,367","44,978","51,555","56,489p"
"Magnesite (thousands of dollars) 20","x","x","x","x","x","x","xp"
"Nepheline syenite (thousands of dollars) 20","115,844","132,610","140,494","156,205","212,639","x","xp"
"Sand and gravel (thousands of dollars) 6 21 23","1,929,378","2,038,051","2,222,907","2,490,093","2,493,364","2,514,318","2,575,485p"
"Silica sand, quartz crude, quartz milled (thousands of dollars) 6 20","166,739","110,634","99,629","102,977","124,167","193,256","134,830p"
"Gravel (natural/crushed), natural sand (thousands of dollars) 6 20","1,762,639","1,927,417","2,123,278","2,387,116","2,369,197","2,321,062","2,440,655p"
"Stone (thousands of dollars) 6 21 24","1,764,718","1,485,294","1,743,228","1,629,021","1,707,567","1,748,965","1,694,550p"
"Granite (thousands of dollars) 6 20","491,125","440,437","521,730","475,364","524,401","541,249","542,231p"
"Limestone (thousands of dollars) 6 20","1,053,167","848,456","1,003,089","935,341","946,264","962,601","907,106p"
"Marble (thousands of dollars) 6 20","88,048","x","x","x","x","x","xp"
"Sandstone (thousands of dollars) 6 20","75,331","87,331","99,276","77,100","103,938","111,742","112,190p"
"Shale (thousands of dollars) 6 20","x","19,016","23,137","x","45,622","x","xp"
"Slate (thousands of dollars) 6 20","x","x","x","x","x","44,600","43,649p"

Symbol legend:
.., not available for a specific reference period
p, preliminary
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"The preliminary estimates of mineral production provide an early indication of the state of the mining sector in Canada. Mineral producers participating in the Annual Mineral Production Survey provide data on production quantities, shipment quantities and shipment values for the survey year collected along with forecasted values for the following year. Therefore, the revisions to preliminary estimates can show greater fluctuations than revisions to historical data."
2,"The Institut de la Statistique du Québec is responsible for the collection and processing of mineral production data from Quebec respondents on an annual basis."
3,"The sum may not add up to the total due to rounding."
4,"As of March 2024, dollar values for all reference periods are presented in thousands of dollars."
5,"As of March 2024, region-level data was discontinued."
6,"The Department of Industry, Energy and Technology of Newfoundland and Labrador provides provincial data on the quantities of secondary aggregates namely stone, sand and gravel to Statistics Canada."
7,"Starting with reference year 2024, an establishment engaged in the extraction of sand, gravel or stone as a secondary activity is excluded from the survey if the production value is less than $100,000. For Quebec, the Institut de la Statistique du Québec excluded establishments with one employee or less starting with reference year 2024. For reference years from 2019 to 2023, an establishment is excluded if the production value is less than $10,000. For Quebec, the Institut de la Statistique du Québec did not apply an exclusion threshold for reference years from 2019 to 2023."
8,"The metals recoverable group includes cobalt recoverable; copper recoverable; gold recoverable; ilmenite recoverable; iron agglomerates; iron concentrates; iron remelt; lead recoverable; lithium recoverable; molybdenum recoverable; nickel recoverable; niobium recoverable; platinum group recoverable metals including iridium recoverable, palladium recoverable, platinum recoverable, rhodium recoverable and ruthenium recoverable; silver recoverable; titanium dioxide; uranium recoverable and zinc recoverable."
9,"This product is a critical mineral."
10,"This product is a metallic mineral."
11,"Lithium concentrates include lithium-silicate (i.e. spodumene concentrates), and lithium-salt concentrates. For reference years 2019 to 2023, lithium concentrates only contains values for spodumene concentrates."
12,"This group of products are critical minerals."
13,"This group of products are metallic minerals."
14,"The platinum group includes iridium, palladium, platinum, rhodium and ruthenium."
15,"The non-metals group includes barite; diamonds; gemstones; graphite; gypsum; gypsum anhydrite; marl; mica; peat; potash - muriate of potash (MOP) including potash - potassium oxide (K2O); potassium sulphate; pumice; salt including fine vacuum salt, in brine salt and rock salt ; serpentine; soapstone, pyrophyllite and talc; sodium sulphate; wollastonite and zeolite."
16,"This product is a non-metallic mineral."
17,"This group of products are non-metallic minerals."
18,"The salt group includes fine vacuum salt, in brine salt and rock salt."
19,"The aggregates, clay and refractory minerals group includes clay; clay products; lime including quicklime and hydrated lime; magnesite; nepheline syenite; sand and gravel including silica sand, quartz crude and quartz milled as well as gravel (natural/crushed), natural sand; and stone including granite, limestone, marble, sandstone, shale, slate."
20,"This product is an aggregate, clay or refractory mineral."
21,"This group of products are aggregates, clay or refractory minerals."
22,"The lime group includes quicklime and hydrated lime."
23,"The sand and gravel group includes silica sand, quartz crude and quartz milled as well as gravel (natural/crushed) and natural sand."
24,"The stone group includes granite, limestone, marble, sandstone, shale and slate."



"How to cite: Statistics Canada. Table 16-10-0022-02  Production of metallic, non-metallic, aggregates, clay and refractory minerals in value, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610002202
