"Production of non-metallic minerals in quantities, monthly 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0020-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Diamonds (carats)","Quantity produced","1,316,505","1,423,826","1,380,941","x","x","x","x","x","x","1,158,669","1,288,780","1,131,590","1,313,412","1,322,562","1,401,305","1,482,887","1,435,155","1,556,225","1,276,753","1,510,682","1,337,209","1,787,084","1,383,366","1,430,818","1,482,226","1,091,605","1,283,430","1,181,072","1,334,607","1,431,222","1,302,916","1,302,265","1,459,582","1,485,928","1,450,272","1,568,370","1,507,408","1,288,598","1,171,480","1,305,511","1,318,887","1,383,235","1,376,160","1,348,633","1,261,357","1,338,761","1,023,936","1,257,401","1,189,955","1,066,377","879,647","1,116,060","1,054,390","1,067,510","1,010,664","1,071,895","884,053","1,012,137","925,148","715,482","880,296","822,225","770,362","845,356","846,976","1,076,386","975,430","923,672","862,315","1,039,452","1,175,623","1,259,994","996,056"
"Lime, total (metric tonnes) 5 6","Quantity produced","137,055","135,441","144,619","125,800","115,409","125,781","141,813","133,545","127,918","137,057","137,252","129,810","142,232","141,651","159,013","144,164","159,996","144,794","164,768","152,601","164,729","152,613","141,235","147,830","144,235","135,046","149,172","152,821","161,583","102,683","108,273","166,749","113,591","151,146","132,404","136,662","142,104","81,325","109,865","96,345","99,021","97,093","90,673","103,203","121,447","90,973","93,761","97,440","130,485","125,121","147,552","145,316","145,555","148,342","155,985","159,120","142,574","157,773","140,637","146,329","143,682","126,702","153,172","149,510","157,997","144,811","157,688","163,004","160,699","133,972","136,530","137,885","134,064"
,"Quantity shipped","120,607","113,251","119,146","114,352","113,878","120,214","120,355","107,930","113,932","122,742","115,350","111,605","124,430","115,909","134,262","128,720","145,601","129,954","143,926","129,539","130,878","125,347","112,321","111,981","111,902","105,543","130,145","126,052","137,506","85,596","83,434","138,841","91,103","134,167","104,116","104,332","104,936","65,866","87,740","81,329","87,908","89,265","72,676","80,613","77,395","68,866","71,943","68,419","107,397","105,911","110,973","121,737","135,777","128,252","137,338","131,797","126,084","135,752","121,000","132,619","131,100","112,309","127,909","131,089","133,030","130,102","131,074","130,926","138,659","126,779","108,579","120,770","114,339"
,"Closing inventories","46,363","51,973","44,970","44,913","52,635","50,771","50,364","53,925","52,151","48,811","47,872","54,994","58,073","54,986","52,096","48,731","53,577","49,245","53,182","51,726","61,852","61,026","57,833","70,539","59,852","59,629","58,889","74,179","49,733","30,078","30,350","71,354","39,122","62,412","59,190","52,831","57,763","41,773","38,851","35,578","32,399","31,325","38,388","43,568","54,575","55,603","53,865","55,365","73,096","71,153","81,153","67,349","67,667","50,347","51,083","70,506","83,645","99,883","120,166","65,925","60,269","56,998","65,025","58,128","72,254","61,379","65,253","64,932","72,009","60,567","69,301","57,577","49,244"
"Lime, hydrated lime (metric tonnes) 7","Quantity produced","12,819","9,815","12,699","12,154","11,848","12,401","15,639","12,946","9,639","8,876","10,267","9,255","10,490","9,779","11,039","12,160","12,020","14,756","14,283","14,096","17,015","12,643","11,130","9,898","8,810","12,472","13,426","11,006","13,441","10,491","9,196","15,308","8,115","12,266","7,517","5,705","6,714","7,098","6,990","6,204","7,989","8,099","9,106","10,512","8,478","7,433","9,151","7,909","11,240","10,189","11,024","13,227","13,609","14,741","15,385","15,751","13,822","14,279","11,754","12,773","13,027","10,477","11,958","15,165","16,009","18,613","16,759","15,410","18,439","16,039","12,973","14,557","11,330"
,"Quantity shipped","13,003","9,805","12,496","11,873","11,484","12,469","15,236","13,492","9,383","8,982","9,874","9,796","10,301","9,420","10,894","11,714","11,950","13,851","13,914","13,803","16,502","12,631","10,388","10,276","8,685","10,493","12,360","11,035","13,275","10,332","9,271","14,981","8,166","12,000","6,401","5,663","6,819","6,944","8,065","5,669","7,779","9,004","8,749","10,027","7,844","7,852","8,377","7,290","10,433","10,436","10,901","11,700","13,304","13,536","15,660","15,467","12,975","13,876","10,937","11,869","12,088","10,087","10,587","14,474","15,378","16,955","15,388","14,779","16,591","14,867","11,435","13,131","10,327"
,"Closing inventories","1,779","1,788","2,063","2,341","2,647","2,417","2,512","1,801","2,060","1,705","2,091","1,510","1,682","2,019","1,705","3,302","3,194","3,097","3,472","2,884","3,324","3,154","3,882","3,416","4,953","3,766","4,634","5,231","4,676","1,757","1,155","3,645","927","3,366","1,662","1,510","1,249","1,178","378","1,620","1,846","1,094","1,162","1,322","1,808","1,271","2,042","2,206","4,324","2,985","3,325","4,801","3,995","3,703","2,968","4,026","5,782","6,304","7,549","3,303","5,102","2,577","4,002","3,919","3,858","3,953","3,862","3,254","3,690","3,522","3,084","3,541","3,401"
"Lime, quicklime (metric tonnes) 7","Quantity produced","124,236","125,626","131,920","113,646","103,561","113,380","126,174","120,599","118,279","128,181","126,985","120,555","131,742","131,872","147,974","132,004","147,976","130,038","150,485","138,505","147,714","139,970","130,105","137,932","135,425","122,574","135,746","141,815","148,142","92,192","99,077","151,441","105,476","138,880","124,887","130,957","135,390","74,227","102,875","90,141","91,032","88,994","81,567","92,691","112,969","83,540","84,610","89,531","119,245","114,932","136,528","132,089","131,946","133,601","140,600","143,369","128,752","143,494","128,883","133,556","130,655","116,225","141,214","134,345","141,988","126,198","140,929","147,594","142,260","117,933","123,557","123,328","122,734"
,"Quantity shipped","107,604","103,446","106,650","102,479","102,394","107,745","105,119","94,438","104,549","113,760","105,476","101,809","114,129","106,489","123,368","117,006","133,651","116,103","130,012","115,736","114,376","112,716","101,933","101,705","103,217","95,050","117,785","115,017","124,231","75,264","74,163","123,860","82,937","122,167","97,715","98,669","98,117","58,922","79,675","75,660","80,129","80,261","63,927","70,586","69,551","61,014","63,566","61,129","96,964","95,475","100,072","110,037","122,473","114,716","121,678","116,330","113,109","121,876","110,063","120,750","119,012","102,222","117,322","116,615","117,652","113,147","115,686","116,147","122,068","111,912","97,144","107,639","104,012"
,"Closing inventories","44,584","50,185","42,907","42,572","49,988","48,354","47,852","52,124","50,091","47,106","45,781","53,484","56,391","52,967","50,391","45,429","50,383","46,148","49,710","48,842","58,528","57,872","53,951","67,123","54,899","55,863","54,255","68,948","45,057","28,321","29,195","67,709","38,195","59,046","57,528","51,321","56,514","40,595","38,473","33,958","30,553","30,231","37,226","42,246","52,767","54,332","51,823","53,159","68,772","68,168","77,828","62,548","63,672","46,644","48,115","66,480","77,863","93,579","112,617","62,622","55,167","54,421","61,023","54,209","68,396","57,426","61,391","61,678","68,319","57,045","66,217","54,036","45,843"
"Potash, muriate of potash (MOP) (metric tonnes)","Quantity produced","1,760,884","1,701,076","1,866,236","1,964,063","1,993,300","1,925,607","2,042,697","1,945,964","1,899,508","1,290,046","1,689,835","2,383,139","2,101,334","1,825,951","2,198,623","2,069,754","2,075,741","1,754,039","1,669,906","1,743,256","1,610,870","1,860,275","2,046,327","2,268,654","2,312,080","1,918,445","1,970,093","2,050,918","2,205,504","2,177,812","2,069,366","1,628,347","1,809,017","1,727,205","2,018,473","1,736,094","1,890,541","1,717,533","1,805,764","1,885,886","2,031,555","1,557,233","1,742,893","1,965,842","1,907,547","1,937,377","1,983,849","2,459,487","2,319,305","2,019,361","1,969,811","1,814,553","2,277,318","2,056,046","2,055,492","2,008,710","1,954,032","1,885,867","2,007,348","2,332,439","2,414,807","1,649,790","2,011,931","1,929,180","2,097,640","2,057,706","2,296,598","2,154,561","1,924,603","2,055,038","1,997,431","2,183,091","2,192,744"
