"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Gold, recoverable (kilograms) 7","Quantity produced","14,407","13,499","13,873","7,628","12,048","14,757","13,889","15,220","15,814","15,206","15,965","18,270","15,512","13,856","16,968","15,405","16,435","15,872","14,644","15,691","16,717","14,307","15,413","19,666","14,405","13,605","17,735","14,636","16,037","18,143","14,884","16,266","16,736","15,056","16,120","18,389","15,389","15,632","16,932","13,528","15,605","16,627","14,174","16,471","14,830","16,949","15,495","18,017","16,542","16,959","15,521","16,076","18,415","17,256","15,641","16,697","15,362","17,027","16,573","18,068","16,825","16,266","17,059","16,759","16,725","16,946","18,574","17,651","17,493","18,342","18,086","19,281","17,763"
,"Quantity shipped","14,053","13,332","15,519","6,730","11,546","15,427","12,926","12,682","18,154","12,782","16,030","19,799","14,447","14,997","19,513","13,082","14,894","18,651","13,867","15,144","18,286","12,442","14,275","23,173","12,166","13,377","19,148","12,105","16,472","20,213","13,337","15,927","19,005","13,247","15,535","19,900","13,971","15,570","19,060","11,384","16,324","17,253","12,298","16,374","16,329","13,989","16,630","19,564","14,334","14,987","17,294","13,595","16,814","18,612","13,647","14,620","18,223","13,575","14,332","20,229","14,516","15,142","19,049","14,215","15,168","18,580","16,521","16,289","19,463","15,145","17,625","20,162","15,848"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gold, refined (grams) 7 8","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x","55,072,730","x","32,158,917","56,496,227","x","x","36,667,054","41,941,877","36,086,873","33,314,731","36,623,082","28,438,699"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x","63,063,523","x","38,192,485","52,338,415","x","x","31,779,327","39,263,324","46,238,511","31,920,438","42,560,136","28,360,289"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Ilmenite, concentrates (metric tonnes)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","x","x","x","x","x","x","x","x","x","x","0","0","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","0"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Ilmenite, recoverable (metric tonnes)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Indium, refined (grams) 4 5","Quantity produced","6,210,000","6,233,000","6,524,000","5,683,000","5,504,000","4,234,000","5,176,000","5,024,000","2,918,000","3,820,000","3,796,000","5,531,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","7,070,000","5,411,000","6,872,000","6,056,000","5,559,000","4,200,000","5,074,000","4,480,000","4,378,000","3,122,000","2,514,000","2,929,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","2,886,000","3,708,000","3,360,000","2,987,000","2,932,000","2,966,000","3,068,000","3,612,000","2,152,000","2,850,000","4,132,000","6,734,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Iron, agglomerates (metric tonnes)","Quantity produced","1,696,071","1,716,763","1,755,938","1,103,638","1,445,794","973,900","1,616,683","1,712,855","1,200,852","1,556,065","1,647,297","1,631,939","1,726,651","1,577,767","1,691,172","1,694,615","1,325,663","1,276,578","1,792,200","1,485,292","1,390,893","1,546,958","1,666,368","1,764,758","1,738,396","1,544,892","1,684,909","1,716,534","1,313,451","1,503,255","1,740,624","1,766,782","1,619,688","1,762,643","1,653,067","1,366,596","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Iron, concentrates (metric tonnes)","Quantity produced","4,481,510","4,394,148","4,646,353","4,089,020","5,271,858","5,096,917","5,047,780","5,122,524","5,165,748","5,417,584","4,954,713","5,060,361","5,184,944","4,435,000","5,009,474","4,687,073","3,797,595","4,255,573","4,857,434","5,349,918","5,619,778","5,138,293","5,036,172","4,820,395","4,856,531","4,732,339","5,507,468","5,276,643","6,040,421","4,924,409","5,859,017","5,894,573","5,110,923","5,842,784","5,612,969","5,008,484","5,202,470","4,345,551","5,044,781","5,466,970","5,333,451","4,513,669","5,450,588","5,268,643","5,098,077","5,307,080","4,900,213","5,394,008","5,347,237","5,296,057","5,808,522","5,547,515","5,920,191","6,005,657","5,735,074","6,598,348","4,753,916","6,498,378","5,739,469","5,939,184","5,532,013","5,036,806","5,500,451","5,365,852","6,074,279","4,699,031","6,121,076","5,864,064","5,477,141","5,327,077","5,838,065","5,654,975","5,166,422"
,"Quantity shipped","3,410,352","3,351,874","3,094,071","2,934,862","4,020,084","4,120,015","4,766,271","3,977,512","4,730,763","3,586,999","3,132,796","3,657,912","3,026,763","2,304,343","3,199,018","3,146,865","2,726,773","1,968,037","3,129,610","4,246,358","4,977,518","3,787,866","2,558,960","2,834,808","2,272,761","2,120,307","2,998,839","3,445,205","2,781,223","3,425,789","3,395,075","4,774,682","4,196,300","4,024,086","3,160,272","3,017,096","3,659,823","2,652,928","3,285,996","3,180,146","3,941,244","2,473,625","3,744,670","4,255,921","5,002,679","4,476,213","3,487,427","2,987,461","3,170,632","3,310,588","3,801,149","3,623,879","4,151,591","4,164,253","4,227,154","5,412,399","3,974,746","4,419,767","3,954,791","3,492,850","3,276,933","2,914,629","3,375,806","4,219,376","4,905,700","4,332,406","4,594,409","5,789,151","5,488,201","4,565,992","3,789,033","3,639,265","2,745,196"
,"Closing inventories","5,079,893","5,106,167","5,675,970","6,009,127","8,133,668","6,771,803","5,592,622","5,061,545","4,188,397","4,323,915","4,564,683","4,351,322","4,577,202","5,036,703","4,946,377","5,228,490","5,041,238","5,916,824","5,784,769","6,014,358","5,282,588","4,501,281","4,722,434","4,484,393","5,199,041","6,200,038","6,914,285","6,909,875","8,480,120","8,390,515","8,975,857","8,224,942","7,536,551","7,435,087","8,009,383","8,445,748","9,074,741","8,509,345","7,013,894","7,813,979","7,708,702","8,449,938","8,689,638","8,176,894","6,893,883","6,387,719","6,637,476","7,653,763","8,145,899","8,574,496","8,917,047","9,267,440","9,799,997","10,017,089","9,868,601","9,332,427","9,218,271","9,739,754","9,480,824","10,125,935","10,998,866","11,415,607","11,381,961","10,665,936","9,681,713","8,731,073","8,801,481","7,411,217","5,568,554","5,155,467","5,368,347","5,778,863","7,045,639"
"Iron, remelt (metric tonnes)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","x","0","x","x","x","x","x","x","x","x","0","0","0","0","0","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","x","0","x","x","0","0","0","0","0","0","0","0","0","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","x","0","x","x","x","x","x","x","x","x","0","0","0","0","0","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Lead, concentrates (kilograms)","Quantity produced","x","x","x","0","x","x","x","x","0","x","0","x","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","659,000","499,000","374,000","185,000","327,000"
,"Quantity shipped","x","0","0","0","0","0","0","0","x","0","0","x","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","709,000","682,000","614,000","353,000","293,000"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","830,000","646,000","406,000","238,000","272,000"
"Lead, recoverable (kilograms)","Quantity produced","x","x","x","0","x","x","x","x","x","x","x","x","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","389,550","252,880","177,630","97,520","179,395"
,"Quantity shipped","x","x","0","0","0","0","0","0","x","0","0","x","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","380,560","442,180","351,300","184,480","100,350"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Lead, refined from primary (kilograms) 4","Quantity produced","5,312,000","4,131,000","4,806,000","5,446,000","4,770,000","4,589,000","4,214,000","4,102,000","4,372,000","3,211,000","4,131,000","4,452,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","3,744,000","4,959,000","5,130,000","4,605,000","6,767,000","3,802,000","4,310,000","3,704,000","4,388,000","3,810,000","4,237,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","2,929,000","2,776,000","3,092,000","3,257,000","1,079,000","1,491,000","1,283,000","1,951,000","774,000","1,095,000","1,310,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Lead, refined from secondary (kilograms) 4","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Lithium, concentrates (kilograms) 9 10","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","0","x","0","x","0","x","x"
,"Closing inventories","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Lithium, recoverable (kilograms) 5","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Molybdenum, concentrates (kilograms)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Molybdenum, recoverable (kilograms) 5","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Nickel, concentrates (kilograms)","Quantity produced","54,628,000","88,127,000","90,947,682","65,800,838","96,842,909","90,905,288","63,700,309","92,667,295","90,510,276","100,523,670","110,334,180","106,479,679","95,203,869","91,462,757","x","113,448,649","90,769,396","62,197,547","46,712,129","46,171,000","57,442,918","63,906,713","83,145,420","81,075,486","61,274,381","79,506,462","78,125,296","99,292,866","90,112,869","59,036,735","41,387,913","54,722,939","62,760,042","52,668,504","90,761,402","93,555,063","69,882,420","65,843,570","83,536,160","67,370,887","88,547,667","91,715,702","46,711,188","62,916,857","81,348,923","89,910,344","97,943,353","103,509,196","86,400,260","88,422,952","104,059,737","80,102,063","106,480,309","80,941,877","81,217,484","54,190,691","80,509,255","90,887,518","86,142,034","105,481,892","93,312,145","82,062,484","97,038,336","97,550,886","85,270,538","92,829,019","98,173,304","69,585,506","72,073,638","107,377,507","96,426,872","117,114,975","83,826,732"
,"Quantity shipped","59,483,000","92,944,000","105,207,682","x","72,212,909","103,562,288","73,159,309","96,103,295","x","119,840,670","113,049,180","x","101,888,869","76,009,757","x","96,805,649","74,239,396","72,976,547","57,485,129","53,644,341","78,409,918","75,358,713","87,507,142","82,525,486","42,405,381","95,782,462","90,096,296","79,350,866","76,445,869","81,189,735","51,712,913","60,234,939","63,661,042","x","76,999,402","107,936,063","x","76,124,570","97,625,160","x","65,467,667","98,058,702","52,739,188","81,250,857","58,855,923","93,732,344","107,579,353","107,096,196","79,331,524","94,497,952","112,682,158","52,110,475","89,264,860","93,479,955","85,418,858","68,992,942","100,053,725","68,920,479","96,089,034","108,113,085","77,278,953","95,454,084","111,842,517","80,439,444","64,305,749","107,222,527","101,042,304","69,942,506","77,387,112","104,405,886","108,403,872","123,396,975","69,827,732"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","25,588,579","54,042,167","x","x","54,519,164","39,643,431","x","42,066,000","32,119,000","29,487,807","45,550,000","33,974,000","19,169,819","36,281,261","57,246,049","42,852,541","39,983,541","39,626,541","33,574,067","50,628,621","38,651,621","22,543,000","36,460,000"
"Nickel, recoverable (kilograms) 5","Quantity produced","15,980,072","15,047,410","12,592,657","7,914,029","12,677,983","12,196,170","9,599,440","13,352,741","13,111,612","13,700,957","15,740,194","16,076,609","13,052,478","13,289,683","x","15,430,510","12,310,407","7,288,277","5,238,456","4,147,029","6,816,620","6,906,995","9,359,791","9,093,576","6,621,195","8,507,584","8,841,064","10,953,894","9,508,128","7,356,852","5,132,578","6,450,657","7,072,685","6,040,419","10,296,406","9,976,034","7,567,601","7,471,793","10,947,932","9,485,700","11,861,298","12,765,800","7,443,282","7,533,310","10,783,489","10,442,621","12,229,127","13,721,283","11,390,858","11,934,221","13,601,179","11,313,400","13,574,920","10,305,810","10,976,363","8,232,384","10,217,191","12,302,889","11,257,745","12,401,844","12,789,085","11,415,835","12,330,333","14,004,493","11,753,926","13,243,393","14,116,302","10,876,263","8,881,941","15,119,613","14,590,187","16,106,115","12,453,465"
,"Quantity shipped","16,871,774","16,285,662","15,334,952","x","8,366,405","13,730,048","11,589,968","14,100,940","x","16,693,486","15,951,122","x","14,362,541","10,202,305","x","12,103,449","9,112,908","7,284,349","5,284,430","4,624,385","7,645,803","7,694,136","9,505,549","9,276,067","5,580,749","9,261,145","9,155,073","10,039,696","9,002,018","9,014,906","5,966,713","6,955,241","7,099,041","5,348,207","8,859,357","11,117,600","6,170,782","8,318,595","13,242,577","x","7,911,554","13,935,286","8,530,120","10,557,081","7,012,266","10,862,294","13,710,479","14,487,940","9,253,370","13,297,906","15,337,036","7,173,876","9,368,027","12,478,945","12,719,622","10,099,165","12,940,021","8,562,725","12,812,941","12,865,116","x","13,623,862","15,414,759","10,503,974","8,262,288","15,421,450","15,145,948","11,062,716","9,518,808","15,002,125","16,387,156","16,980,443","9,944,387"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Nickel, refined (kilograms) 4 5","Quantity produced","9,859,000","10,715,000","10,731,000","10,863,000","11,606,000","11,031,000","5,865,000","10,630,000","10,730,000","9,928,000","12,031,000","10,054,000","x","x","x","x","x","x","x","x","8,154,694","8,985,845","8,933,771","9,086,995","7,713,133","6,741,176","10,821,046","5,808,947","8,277,978","5,870,995","7,847,203","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","6,033,004"
,"Quantity shipped","9,642,000","10,767,000","10,768,000","10,917,000","11,225,000","11,403,000","5,847,000","10,317,000","10,699,000","10,258,000","11,813,000","10,255,000","x","x","x","x","x","x","x","x","8,053,723","8,486,431","9,139,488","9,184,984","7,289,099","7,367,969","10,384,122","5,196,552","7,244,166","6,415,550","6,409,853","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","5,938,528"
,"Closing inventories","626,000","574,000","537,000","483,000","865,000","493,000","510,000","823,000","855,000","525,000","744,000","542,000","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","2,273,224","1,638,734","1,733,210","1,827,686","1,922,162","2,016,638"
"Niobium, concentrates (kilograms)","Quantity produced","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Niobium, recoverable (kilograms) 5","Quantity produced","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
