"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Bismuth, refined (kilograms) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cadmium, refined (kilograms) 4","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Cobalt recoverable (kilograms) 5","Quantity produced","254,663","266,337","308,292","165,340","252,028","262,023","244,730","367,022","356,513","365,036","422,818","428,256","375,650","368,677","x","382,697","305,186","354,533","292,311","194,686","250,320","254,515","336,423","339,853","297,316","273,924","296,380","346,830","290,407","219,595","186,354","220,628","236,451","212,258","300,721","305,388","233,986","236,315","302,566","252,266","301,144","338,836","208,943","244,096","299,666","316,902","343,273","383,616","298,841","320,246","387,200","338,906","367,871","266,655","346,896","278,949","330,269","393,534","326,989","390,954","421,900","382,634","444,288","468,131","403,371","466,134","514,021","453,683","296,801","509,322","510,245","524,892","512,425"
,"Quantity shipped","278,622","301,514","371,463","x","x","318,971","293,890","375,694","x","438,305","421,617","x","408,933","x","x","x","x","394,542","x","228,829","316,014","288,948","347,886","342,154","226,736","325,728","325,995","287,943","248,200","272,170","220,575","233,001","245,709","182,719","263,061","354,071","183,149","259,223","343,516","x","234,034","357,414","226,480","301,248","232,683","322,512","373,792","392,794","273,716","334,488","422,967","259,141","x","301,200","364,982","328,569","374,453","x","356,470","406,651","x","417,975","492,672","415,790","342,388","505,349","510,458","452,543","318,999","490,227","551,846","551,860","477,918"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cobalt, refined (kilograms) 4 5","Quantity produced","454,278","449,569","501,031","448,040","579,911","511,949","386,524","494,276","578,553","475,559","558,377","526,835","x","x","x","x","x","x","x","x","522,965","499,526","466,198","507,116","475,235","417,956","596,669","442,910","518,943","303,957","460,441","404,958","516,947","394,954","468,766","499,683","431,468","375,955","492,937","437,951","396,940","279,969","362,191","363,597","468,196","413,706","386,206","435,929","410,953","340,459","449,692","430,695","x","x","504,692","593,426","518,186","543,924","575,435","488,441","469,698","362,953","407,449","495,938","461,953","635,928","489,952","485,459","446,218","576,865","485,934","581,447","595,197"
