"Production of metallic minerals in value, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-02"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada 2",,,,
"Variables","Value of shipments 2",,,,
4,"The following refined products were added to the table on March 23rd, 2021: aluminum, bismuth, cadmium, cobalt, copper, germanium, indium, lead from primary, lead from secondary, nickel, selenium, silver, tellerium, zinc and the platinum group which includes iridium, palladium, platinum, rhodium and ruthenium."
5,"This product is a critical mineral. "
6,"Estimates for placer gold are not included in the monthly gold production data. Placer gold entities are collected as part of the Annual Mineral Production Survey."
7,"Refined gold was added to the table on September 19th, 2025. The time series starts with reference month January 2025."
8,"Lithium concentrates include lithium-silicate (i.e. spodumene concentrates), and lithium-salt concentrates. From January 2020 to December 2025, lithium concentrates only contains values for spodumene concentrates."
9,"Rare earths contains the following elements: cerium, dysprosium, erbium, europium, holmium, gadolinium, lanthanum, lutetium, neodymium, praseodymium, promethium, samarium, scandium, terbium, thulium, yttrium and ytterbium."
10,"This group of products are critical minerals."
11,"Refined scandium was added to the table on March 20th, 2026. The time series starts with reference month January 2026."



"How to cite: Statistics Canada. Table 16-10-0019-02  Production of metallic minerals in value, monthly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001902
